Date,Open,High,Low,Close,Volume,Parabolic SAR,Prediction for Close,
10/30/2003,5507,5520,5507,5515,11083,5560.92,,
10/31/2003,5476,5476,5467,5473,31250,5555.15,,
11/3/2003,5470,5470,5425,5454,53827,5549.68,,
11/4/2003,5430,5430,5395,5410,16174,5536.71,,
11/5/2003,5389,5389,5334,5358,21902,5514.61,,
11/6/2003,5375,5380,5360,5360,14551,5477.04,,
11/7/2003,5395,5400,5390,5395,6460,5447.29,,
11/10/2003,5400,5400,5370,5400,23311,5423.72,,
11/11/2003,5400,5415,5390,5405,11696,5334,,
11/12/2003,5450,5463,5430,5453,33959,5343.67,,
11/13/2003,5500,5514,5495,5505,3419,5352.84,,
11/14/2003,5502,5506,5492,5506,12084,5361.53,,
11/17/2003,5517,5555,5515,5550,4821,5369.77,,
11/18/2003,5525,5537,5519,5519,49596,5389.04,,
11/19/2003,5525,5550,5525,5548,27585,5406.3,,
11/20/2003,5497,5513,5492,5506,32312,5421.76,,
11/21/2003,5492,5492,5475,5475,29100,5435.62,,
11/24/2003,5475,5505,5475,5501,103328,5448.03,,
11/25/2003,5464,5473,5448,5458,22680,5555,,
11/26/2003,5462,5474,5450,5474,19020,5546.42,,
11/27/2003,5498,5501,5485,5493,10056,5538.29,,
11/28/2003,5484,5485,5484,5485,225,5530.58,,
12/1/2003,5505,5517,5500,5513,33519,5523.26,,
12/2/2003,5552,5552,5525,5525,39571,5448,,
12/3/2003,5536,5537,5519,5521,36033,5451.59,,
12/4/2003,5520,5520,5497,5504,2410,5460.47,,
12/5/2003,5540,5540,5491,5492,5781,5468.43,,
12/8/2003,5543,5543,5500,5519,9254,5479.6,,
12/9/2003,5509,5519,5500,5510,41761,5492.78,,
12/10/2003,5520,5531,5496,5515,20650,5552,,
12/11/2003,5503,5515,5486,5513,42296,5548.83,,
12/12/2003,5476,5476,5445,5466,63454,5542.29,,
12/15/2003,5507,5507,5440,5468,17763,5527.12,,
12/16/2003,5510,5530,5505,5530,12084,5440,,
12/17/2003,5500,5510,5490,5490,4485,5444.73,,
12/18/2003,5550,5587,5545,5550,26409,5449.22,,
12/19/2003,5550,5560,5550,5560,6815,5463.55,,
12/22/2003,5576,5587,5576,5585,8770,5476.39,,
12/23/2003,5595,5600,5595,5595,11798,5487.89,,
12/24/2003,5590,5590,5570,5583,2926,5505.38,,
12/29/2003,5580,5599,5580,5599,4820,5520.14,,
12/30/2003,5600,5603,5600,5600,2775,5532.6,,
12/31/2003,5595,5596,5581,5596,11038,5547.24,,
1/2/2004,5560,5560,5550,5553,17920,5603,,
1/5/2004,5496,5521,5488,5501,1896,5597.12,,
1/6/2004,5525,5548,5512,5539,5347,5585.78,,
1/7/2004,5518,5518,5492,5509,24603,5575.61,,
1/8/2004,5490,5496,5476,5491,14802,5566.5,,
1/9/2004,5489,5489,5453,5453,20881,5552.38,,
1/12/2004,5500,5500,5450,5450,14114,5531.71,,
1/13/2004,5490,5490,5470,5481,12837,5510.46,,
1/14/2004,5464,5467,5460,5465,13063,5494.74,,
1/15/2004,5404,5424,5386,5388,50445,5483.11,,
1/16/2004,5330,5330,5300,5319,41801,5452.81,,
1/19/2004,5310,5375,5310,5353,29880,5397.19,,
1/20/2004,5410,5410,5345,5345,661,5300,,
1/21/2004,5386,5390,5370,5386,13878,5313.52,,
1/22/2004,5322,5325,5310,5313,9820,5410,,
1/23/2004,5285,5302,5285,5302,1175,5406.62,,
1/27/2004,5277,5277,5255,5265,6693,5393.97,,
1/28/2004,5270,5278,5260,5278,3131,5372.29,,
1/29/2004,5320,5340,5314,5314,15632,5353.99,,
1/30/2004,5266,5283,5260,5283,6365,5340,,
2/2/2004,5296,5305,5280,5305,7182,5326.74,,
2/3/2004,5274,5278,5260,5278,38046,5315.55,,
2/4/2004,5255,5260,5210,5228,4262,5306.1,,
2/5/2004,5242,5278,5242,5275,3799,5286.11,,
2/6/2004,5233,5237,5215,5215,7823,5278,,
2/9/2004,5294,5294,5235,5241,43949,5210,,
2/10/2004,5299,5299,5245,5255,33806,5216.76,,
2/11/2004,5222,5244,5210,5244,9016,5299,,
2/12/2004,5241,5261,5241,5250,15075,5295.67,,
2/13/2004,5235,5235,5227,5230,3850,5292.52,,
2/16/2004,5231,5231,5210,5215,7089,5285.7,,
2/17/2004,5215,5221,5215,5221,3758,5273.89,,
2/18/2004,5235,5235,5225,5230,4170,5263.93,,
2/19/2004,5230,5233,5210,5218,21517,5255.51,,
2/20/2004,5197,5197,5170,5175,17470,5248.41,,
2/23/2004,5170,5170,5153,5162,6785,5232.1,,
2/24/2004,5172,5172,5155,5170,65465,5211.54,,
2/25/2004,5170,5190,5156,5170,2090,5196.32,,
2/26/2004,5155,5168,5150,5168,7178,5190,,
2/27/2004,5155,5155,5140,5140,3675,5177.52,,
3/1/2004,5126,5173,5120,5150,18045,5140,,
3/2/2004,5201,5201,5180,5180,1387,5120,,
3/3/2004,5141,5195,5141,5195,4968,5127.33,,
3/4/2004,5234,5236,5234,5235,3710,5134.28,,
3/5/2004,5254,5256,5240,5240,9495,5140.87,,
3/8/2004,5251,5276,5251,5276,2088,5147.12,,
3/9/2004,5294,5294,5265,5280,9550,5160.52,,
3/10/2004,5320,5330,5300,5320,28034,5181.34,,
3/11/2004,5360,5385,5324,5385,73210,5212.26,,
3/12/2004,5450,5509,5444,5483,55829,5257.18,,
3/15/2004,5466,5466,5400,5410,6415,5335.74,,
3/16/2004,5431,5431,5425,5425,480,5389.8,,
3/17/2004,5415,5438,5415,5428,4235,5509,,
3/18/2004,5475,5484,5430,5469,7138,5488.77,,
3/19/2004,5470,5470,5452,5460,5743,5415,,
3/22/2004,5513,5520,5510,5520,3390,5418.59,,
3/23/2004,5515,5563,5515,5550,3134,5429.14,,
3/24/2004,5575,5580,5550,5550,3506,5450.02,,
3/25/2004,5580,5607,5580,5604,4361,5477.05,,
3/26/2004,5610,5646,5610,5646,3485,5510.84,,
3/29/2004,5650,5660,5640,5650,6345,5553.01,,
3/30/2004,5594,5595,5564,5590,2639,5660,,
3/31/2004,5589,5598,5575,5577,8081,5649.18,,
4/1/2004,5578,5605,5578,5580,15409,5638.93,,
4/2/2004,5580,5594,5573,5594,7579,5629.21,,
4/5/2004,5592,5592,5550,5555,1628,5620,,
4/6/2004,5523,5535,5512,5512,1972,5611.26,,
4/7/2004,5524,5538,5500,5500,2320,5602.98,,
4/8/2004,5525,5545,5525,5525,1015,5595.13,,
4/13/2004,5481,5496,5481,5496,2168,5587.68,,
4/14/2004,5400,5470,5400,5470,6696,5580.63,,
4/15/2004,5425,5434,5410,5434,22145,5561.84,,
4/16/2004,5406,5406,5365,5400,2067,5545.01,,
4/19/2004,5390,5400,5380,5400,4641,5516.93,,
4/20/2004,5400,5400,5369,5370,49487,5493.23,,
4/21/2004,5340,5350,5334,5340,10000,5473.22,,
4/22/2004,5330,5375,5330,5370,4020,5444.27,,
4/23/2004,5370,5385,5370,5380,60122,5414.56,,
4/26/2004,5398,5400,5380,5380,11375,5330,,
4/27/2004,5400,5405,5400,5405,2930,5344.3,,
4/28/2004,5390,5420,5390,5410,22750,5357.86,,
4/29/2004,5385,5385,5310,5310,14177,5420,,
4/30/2004,5375,5375,5345,5345,48288,5417.92,,
5/3/2004,5400,5400,5374,5393,6176,5410.34,,
5/4/2004,5345,5345,5345,5345,753,5403.54,,
5/5/2004,5335,5358,5335,5358,700,5397.45,,
5/6/2004,5355,5355,5355,5355,100,5387.71,,
5/10/2004,5365,5375,5350,5375,13667,5379.49,,
5/11/2004,5385,5450,5385,5400,10281,5310,,
5/12/2004,5420,5420,5400,5417,2953,5314.68,,
5/13/2004,5393,5393,5393,5393,750,5325.63,,
5/14/2004,5400,5440,5400,5440,3054,5335.45,,
5/17/2004,5450,5460,5450,5450,4819,5351.76,,
5/18/2004,5515,5533,5515,5515,7390,5374.27,,
5/19/2004,5450,5455,5440,5450,3372,5415.54,,
5/20/2004,5460,5501,5460,5500,1658,5440,,
5/21/2004,5496,5496,5450,5469,2460,5533,,
5/24/2004,5507,5507,5475,5477,1591,5525.3,,
5/25/2004,5481,5500,5481,5500,775,5518.01,,
5/26/2004,5499,5500,5499,5500,3320,5511.09,,
5/27/2004,5500,5510,5500,5510,6005,5450,,
5/28/2004,5515,5515,5490,5515,1430,5452.96,,
5/31/2004,5515,5550,5501,5501,4955,5459.42,,
6/1/2004,5505,5515,5505,5515,532,5473.55,,
6/2/2004,5530,5565,5530,5565,1980,5485.47,,
6/3/2004,5586,5630,5586,5630,8338,5502.02,,
6/4/2004,5630,5630,5580,5580,355,5535.29,,
6/7/2004,5600,5600,5580,5590,4811,5559.92,,
6/8/2004,5590,5590,5590,5590,211,5578.14,,
6/9/2004,5590,5590,5560,5560,1652,5630,,
6/10/2004,5540,5560,5540,5540,4831,5622.72,,
6/11/2004,5540,5540,5520,5520,4461,5615.82,,
6/15/2004,5540,5580,5540,5560,1900,5609.28,,
6/16/2004,5570,5600,5555,5555,3380,5603.07,,
6/17/2004,5580,5600,5580,5590,4805,5520,,
6/18/2004,5650,5690,5650,5690,2835,5524.16,,
6/21/2004,5800,5800,5690,5726,1159,5541.41,,
6/22/2004,5665,5692,5665,5692,286,5581.75,,
6/23/2004,5730,5761,5720,5761,1155,5615.8,,
6/24/2004,5755,5755,5725,5735,1765,5644.53,,
6/25/2004,5740,5744,5740,5744,174,5668.78,,
6/28/2004,5740,5766,5740,5766,3932,5689.25,,
6/29/2004,5748,5754,5748,5754,809,5706.53,,
6/30/2004,5683,5743,5683,5743,2824,5800,,
7/1/2004,5735,5735,5680,5680,645,5788.56,,
7/2/2004,5620,5620,5620,5620,100,5777.72,,
7/5/2004,5600,5600,5560,5560,1300,5767.43,,
7/6/2004,5569,5569,5555,5555,514,5745.86,,
7/7/2004,5506,5515,5500,5503,4791,5716.09,,
7/8/2004,5550,5550,5534,5534,497318,5671.14,,
7/9/2004,5600,5600,5600,5600,1025,5635.54,,
7/12/2004,5630,5645,5600,5639,5657,5500,,
7/13/2004,5610,5610,5545,5545,1893,5512.64,,
7/14/2004,5580,5580,5570,5570,8005,5524.62,,
7/15/2004,5570,5603,5570,5596,5110,5535.97,,
7/16/2004,5650,5650,5560,5560,643,5546.74,,
7/19/2004,5535,5564,5534,5534,220388,5650,,
7/20/2004,5550,5550,5542,5542,2204,5644.54,,
7/21/2004,5500,5500,5500,5500,140,5633.88,,
7/22/2004,5540,5540,5535,5535,5297,5612.99,,
7/23/2004,5553,5555,5550,5551,1684,5595.36,,
7/26/2004,5551,5551,5497,5537,4212,5580.49,,
7/27/2004,5540,5540,5540,5540,2000,5563.12,,
7/28/2004,5525,5525,5525,5525,100,5549.37,,
7/29/2004,5536,5600,5536,5600,1082,5497,,
7/30/2004,5560,5586,5560,5586,2650,5500.48,,
8/2/2004,5565,5615,5565,5615,2637,5509.38,,
8/3/2004,5570,5570,5535,5536,792,5525.86,,
8/4/2004,5545,5605,5545,5561,2140,5535,,
8/5/2004,5600,5600,5580,5580,317598,5545,,
8/6/2004,5580,5588,5560,5577,401380,5555.92,,
8/9/2004,5565,5565,5565,5565,45,5615,,
8/10/2004,5620,5620,5565,5565,384,5565,,
8/11/2004,5560,5560,5542,5542,2106,5620,,
8/12/2004,5520,5520,5520,5520,375,5617.14,,
8/13/2004,5525,5525,5525,5525,70,5607.04,,
8/16/2004,5565,5565,5565,5565,274,5597.99,,
8/17/2004,5619,5619,5619,5619,787,5520,,
8/18/2004,5640,5640,5600,5600,4805,5522.34,,
8/19/2004,5640,5675,5625,5675,5978,5534.58,,
8/20/2004,5700,5700,5641,5644,4783,5556.48,,
8/23/2004,5674,5727,5674,5727,1057,5586.33,,
8/24/2004,5705,5705,5705,5705,100,5622.91,,
8/25/2004,5713,5755,5705,5755,1961,5649.97,,
8/26/2004,5769,5769,5730,5740,345,5682.74,,
8/27/2004,5750,5785,5750,5785,99,5714.14,,
8/30/2004,5730,5768,5729,5729,4415,5785,,
8/31/2004,5795,5795,5780,5781,244,5729,,
9/1/2004,5830,5830,5830,5830,5500,5731.03,,
9/2/2004,5840,5840,5800,5820,1347,5741.32,,
9/3/2004,5850,5850,5780,5780,3554,5756.72,,
9/6/2004,5838,5839,5800,5839,200,5776.12,,
9/7/2004,5818,5818,5810,5810,6234,5791.49,,
9/8/2004,5765,5765,5742,5743,2600,5850,,
9/9/2004,5735,5735,5723,5723,8000,5846.36,,
9/10/2004,5755,5780,5755,5780,9846,5833.53,,
9/13/2004,5774,5774,5750,5750,1731,5822.04,,
9/14/2004,5764,5764,5750,5750,378,5811.74,,
9/15/2004,5751,5751,5751,5751,74,5802.51,,
9/16/2004,5780,5816,5780,5816,5237,5723,,
9/17/2004,5751,5820,5751,5820,1743,5725.96,,
9/20/2004,5800,5800,5771,5771,3400,5735.74,,
9/21/2004,5751,5776,5750,5776,2846,5744.51,,
9/22/2004,5850,5850,5753,5753,67016,5750,,
9/23/2004,5760,5760,5720,5730,66632,5850,,
9/24/2004,5705,5722,5700,5722,66375,5844.8,,
9/27/2004,5710,5721,5690,5710,66475,5829.74,,
9/28/2004,5700,5710,5700,5710,134,5807.94,,
9/29/2004,5756,5756,5735,5735,4847,5789.54,,
9/30/2004,5790,5790,5750,5759,1430,5690,,
10/1/2004,5735,5790,5735,5790,1510,5693.64,,
10/4/2004,5720,5783,5720,5783,421,5703.66,,
10/5/2004,5761,5761,5700,5700,10261,5790,,
10/6/2004,5783,5783,5755,5755,3365,5786.36,,
10/7/2004,5788,5799,5786,5799,24123,5700,,
10/8/2004,5790,5790,5750,5750,900,5704.32,,
10/11/2004,5760,5763,5753,5763,1120,5713.23,,
10/12/2004,5750,5750,5720,5720,320,5799,,
10/13/2004,5740,5740,5687,5687,3890,5796.45,,
10/14/2004,5700,5748,5700,5725,14806,5785.07,,
10/15/2004,5750,5765,5739,5741,8831,5774.87,,
10/18/2004,5735,5735,5734,5734,585,5765.73,,
10/19/2004,5757,5757,5705,5705,7929,5757.54,,
10/20/2004,5740,5784,5740,5784,4375,5687,,
10/21/2004,5800,5800,5755,5778,9020,5691.06,,
10/22/2004,5760,5760,5751,5751,300,5702.39,,
10/25/2004,5760,5775,5745,5755,4695,5712.54,,
10/26/2004,5765,5765,5726,5731,582,5721.63,,
10/27/2004,5727,5732,5700,5700,2956,5800,,
10/28/2004,5699,5699,5620,5620,1321,5796.15,,
10/29/2004,5665,5731,5665,5700,1498,5777.83,,
11/1/2004,5740,5773,5720,5720,3655,5620,,
11/2/2004,5705,5705,5705,5705,25,5625.82,,
11/3/2004,5660,5660,5645,5648,1155,5631.34,,
11/4/2004,5640,5675,5625,5625,740,5773,,
11/5/2004,5640,5700,5625,5655,3713,5766.34,,
11/8/2004,5600,5747,5600,5746,1116,5751.64,,
11/9/2004,5728,5735,5710,5735,11048,5600,,
11/10/2004,5735,5740,5690,5690,6945,5607.64,,
11/11/2004,5675,5710,5675,5700,1752,5614.89,,
11/12/2004,5700,5725,5700,5725,425,5621.76,,
11/15/2004,5705,5725,5705,5725,7020,5628.27,,
11/16/2004,5710,5710,5660,5660,1515,5634.45,,
11/17/2004,5671,5689,5671,5673,660,5640.3,,
11/18/2004,5715,5720,5700,5720,10524,5645.85,,
11/19/2004,5711,5711,5670,5670,7000,5651.11,,
11/22/2004,5700,5729,5700,5728,4317,5656.09,,
11/23/2004,5750,5765,5750,5764,1745,5660.82,,
11/24/2004,5750,5750,5680,5725,5413,5671.66,,
11/25/2004,5676,5730,5676,5730,1323,5765,,
11/26/2004,5720,5740,5720,5735,5232,5759.54,,
11/29/2004,5712,5760,5712,5760,16277,5676,,
11/30/2004,5767,5805,5767,5805,4636,5679.33,,
12/1/2004,5815,5837,5795,5837,3252,5692.4,,
12/2/2004,5837,5850,5830,5830,2182,5714.96,,
12/3/2004,5800,5800,5763,5775,8976,5743.04,,
12/6/2004,5802,5810,5802,5805,3548,5763,,
12/7/2004,5805,5860,5805,5849,9400,5781.1,,
12/8/2004,5836,5840,5805,5820,7617,5801.61,,
12/9/2004,5812,5812,5775,5800,4612,5860,,
12/10/2004,5800,5800,5750,5751,1330,5852.3,,
12/13/2004,5800,5800,5800,5800,84,5845.01,,
12/14/2004,5800,5800,5789,5790,1344,5838.09,,
12/15/2004,5730,5780,5730,5740,3067,5831.54,,
12/16/2004,5700,5810,5700,5810,19543,5825.32,,
12/17/2004,5790,5790,5790,5790,854,5812.29,,
12/20/2004,5795,5814,5795,5814,10930,5700,,
12/21/2004,5825,5825,5785,5810,779,5705.82,,
12/22/2004,5795,5800,5795,5800,4114,5718.22,,
12/23/2004,5790,5790,5780,5780,2840,5729.32,,
12/24/2004,5770,5800,5770,5800,100,5739.27,,
12/29/2004,5750,5750,5725,5725,725,5825,,
12/30/2004,5665,5665,5665,5665,3610,5822.14,,
12/31/2004,5650,5650,5650,5650,870,5805.8,,
1/4/2005,5551,5551,5510,5510,195,5781.49,,
1/5/2005,5580,5580,5555,5575,2835,5725.02,,
1/6/2005,5575,5585,5575,5585,920,5680.3,,
1/7/2005,5590,5590,5520,5520,6120,5644.88,,
1/10/2005,5570,5570,5565,5565,1625,5616.82,,
1/11/2005,5545,5555,5530,5540,6390,5594.6,,
1/12/2005,5540,5542,5540,5542,2000,5577.01,,
1/13/2005,5590,5590,5574,5574,880,5510,,
1/14/2005,5570,5570,5525,5545,2566,5522.48,,
1/17/2005,5590,5590,5555,5555,1560,5525,,
1/18/2005,5560,5600,5555,5600,1125,5536.7,,
1/19/2005,5600,5600,5565,5565,22510,5547.79,,
1/20/2005,5574,5574,5550,5550,153,5600,,
1/21/2005,5550,5562,5530,5562,1204,5596.1,,
1/24/2005,5565,5565,5540,5550,1095,5592.4,,
1/25/2005,5550,5550,5520,5520,1071,5588.9,,
1/27/2005,5525,5533,5510,5525,2320,5581.73,,
1/28/2005,5500,5535,5500,5535,1240,5570.54,,
1/31/2005,5500,5500,5500,5500,950,5555.87,,
2/1/2005,5480,5480,5450,5470,3076,5544.25,,
2/2/2005,5470,5470,5440,5440,1025,5519.74,,
2/3/2005,5440,5440,5440,5440,385,5494.86,,
2/4/2005,5440,5440,5425,5425,2298,5477.75,,
2/7/2005,5383,5410,5355,5355,1545,5458.55,,
2/8/2005,5406,5410,5385,5385,872,5415.47,,
2/9/2005,5365,5380,5365,5380,728,5410,,
2/10/2005,5390,5395,5315,5315,8705,5355,,
2/11/2005,5370,5370,5365,5370,637,5395,,
2/14/2005,5355,5370,5345,5370,1502,5390.84,,
2/15/2005,5400,5425,5400,5405,780,5345,,
2/16/2005,5421,5421,5420,5420,1564,5346.3,,
2/17/2005,5410,5440,5410,5440,79,5354.07,,
2/18/2005,5440,5440,5411,5411,4460,5367.47,,
2/21/2005,5425,5430,5425,5425,1725,5378.79,,
2/22/2005,5425,5425,5425,5425,725,5388.34,,
2/23/2005,5460,5513,5450,5460,8564,5396.4,,
2/24/2005,5501,5530,5501,5530,432,5420.65,,
2/25/2005,5510,5530,5500,5500,10369,5449.08,,
2/28/2005,5501,5515,5501,5515,950,5470.12,,
3/1/2005,5525,5530,5525,5530,1360,5485.69,,
3/2/2005,5500,5547,5500,5547,1725,5497.21,,
3/3/2005,5520,5520,5510,5520,2500,5547,,
3/4/2005,5500,5510,5500,5510,2049,5539.36,,
3/7/2005,5500,5520,5500,5520,2099,5532.11,,
3/8/2005,5500,5510,5460,5460,7189,5525.24,,
3/9/2005,5501,5501,5500,5500,2200,5518.73,,
3/10/2005,5530,5560,5530,5559,1566,5460,,
3/11/2005,5570,5619,5570,5619,400,5463.12,,
